CustomerID,Age,Gender,TenureMonths,ContractType,InternetService,PhoneService,StreamingService,MonthlyCharges,TotalCharges,MonthlyUsageGB,SessionsPerMonth,SupportCalls,Complaints,PaymentMethod,PaymentDelayDays,Churn
CUST-10013,70,Female,67,Month-to-Month,No,Yes,Yes,62.28,3779.73,444.2,43,2,0,Electronic Check,1,No
CUST-10014,53,Female,25,Month-to-Month,Fiber Optic,Yes,No,51.94,1265.23,139.9,6,1,1,Electronic Check,4,No
CUST-10015,57,Female,55,One Year,Fiber Optic,Yes,Yes,59.69,3149.72,152.7,35,1,1,Mailed Check,1,No
CUST-10016,41,Female,52,Month-to-Month,Fiber Optic,No,Yes,43.66,2115.53,166.1,32,2,0,Bank Transfer,4,Yes
CUST-10017,20,Male,44,Month-to-Month,No,Yes,No,103.1,4340.14,170.0,14,1,0,Electronic Check,3,No
CUST-10018,39,Female,56,Two Year,DSL,Yes,Yes,45.01,2640.35,272.4,6,3,2,Mailed Check,3,No
CUST-10019,70,Female,55,Month-to-Month,Fiber Optic,No,No,55.73,3091.16,155.1,49,2,1,Bank Transfer,2,No
CUST-10020,19,Male,70,Two Year,DSL,Yes,No,46.91,3102.87,357.5,51,1,0,Credit Card,2,No
CUST-10021,41,Female,66,Two Year,Fiber Optic,No,No,46.49,3040.12,232.4,18,1,1,Credit Card,5,No
CUST-10022,61,Male,19,One Year,Fiber Optic,Yes,Yes,65.62,1168.23,136.3,31,2,1,Bank Transfer,5,Yes
CUST-10023,47,Male,7,Month-to-Month,DSL,Yes,Yes,62.44,433.42,113.3,52,1,1,Bank Transfer,6,Yes
CUST-10024,55,Male,63,Month-to-Month,Fiber Optic,Yes,No,53.51,3487.18,273.7,16,4,0,Bank Transfer,1,Yes
CUST-10025,19,Male,42,Month-to-Month,Fiber Optic,Yes,No,57.91,2392.17,182.6,56,2,0,Bank Transfer,0,Yes
CUST-10026,38,Male,42,Two Year,DSL,Yes,Yes,47.0,1993.74,180.8,3,4,0,Mailed Check,4,No
CUST-10027,50,Female,59,Month-to-Month,Fiber Optic,Yes,No,75.04,4285.69,126.1,31,0,0,Electronic Check,3,No
CUST-10028,29,Male,20,Month-to-Month,DSL,Yes,No,116.38,2277.83,174.5,38,1,0,Mailed Check,2,Yes
CUST-10029,39,Male,17,Month-to-Month,Fiber Optic,Yes,No,43.13,736.33,122.5,58,0,0,Electronic Check,3,Yes
CUST-10030,61,Female,27,Month-to-Month,Fiber Optic,Yes,Yes,74.85,2065.13,302.6,17,4,0,Mailed Check,4,Yes
CUST-10031,42,Female,47,Month-to-Month,Fiber Optic,Yes,Yes,66.12,3104.28,244.5,52,1,2,Bank Transfer,1,Yes
CUST-10032,66,Male,2,One Year,Fiber Optic,Yes,Yes,81.72,171.06,164.3,5,1,0,Mailed Check,0,No
CUST-10033,44,Female,63,Month-to-Month,Fiber Optic,Yes,Yes,82.42,5311.75,162.9,53,1,2,Electronic Check,5,No
CUST-10034,59,Female,62,Month-to-Month,DSL,Yes,No,70.14,4420.76,188.3,16,0,0,Credit Card,6,Yes
CUST-10035,45,Male,19,Month-to-Month,No,Yes,Yes,64.0,1248.55,179.5,17,2,2,Bank Transfer,2,Yes
CUST-10036,33,Male,17,One Year,Fiber Optic,Yes,No,54.14,867.17,93.9,31,0,0,Credit Card,1,No
CUST-10037,32,Female,69,One Year,DSL,Yes,Yes,45.88,3054.31,8.9,16,1,0,Electronic Check,4,No
CUST-10038,64,Male,39,Month-to-Month,No,No,No,62.58,2403.2,108.2,57,1,1,Bank Transfer,3,No
CUST-10039,68,Male,71,One Year,DSL,Yes,Yes,32.89,2263.63,168.4,21,3,0,Bank Transfer,1,No
CUST-10040,61,Female,39,Month-to-Month,Fiber Optic,Yes,Yes,50.15,2008.89,113.6,41,0,0,Bank Transfer,2,No
CUST-10041,72,Male,36,Two Year,Fiber Optic,Yes,Yes,92.67,3016.05,253.7,39,4,1,Credit Card,3,No
CUST-10042,69,Male,40,Month-to-Month,Fiber Optic,Yes,No,67.46,2513.23,159.4,37,3,0,Credit Card,2,Yes
CUST-10043,74,Male,45,One Year,No,Yes,Yes,87.32,4056.15,348.6,41,3,0,Electronic Check,1,No
CUST-10044,20,Male,4,Two Year,Fiber Optic,No,Yes,101.74,369.87,129.5,53,2,1,Electronic Check,0,Yes
CUST-10045,54,Male,25,Two Year,DSL,Yes,Yes,60.57,1414.38,192.7,10,0,1,Mailed Check,5,No
CUST-10046,68,Female,69,Month-to-Month,No,Yes,No,70.18,4613.31,154.0,32,0,0,Electronic Check,2,No
CUST-10047,24,Female,30,Month-to-Month,No,Yes,No,57.45,1745.24,219.6,25,4,0,Mailed Check,4,No
CUST-10048,38,Male,68,One Year,Fiber Optic,Yes,No,44.68,2989.71,275.9,53,2,1,Credit Card,1,No
CUST-10049,26,Female,29,Month-to-Month,Fiber Optic,Yes,No,41.18,1245.8,234.7,33,1,1,Electronic Check,4,No
CUST-10050,56,Male,68,Two Year,DSL,Yes,Yes,86.08,5468.17,1.0,39,0,0,Bank Transfer,4,No
CUST-10051,35,Male,51,One Year,Fiber Optic,Yes,No,70.22,3691.59,225.0,53,2,0,Mailed Check,4,No
CUST-10052,21,Male,24,One Year,DSL,Yes,Yes,111.17,2514.5,89.0,37,1,0,Mailed Check,1,Yes
CUST-10053,42,Male,14,Month-to-Month,DSL,Yes,Yes,89.3,1171.22,152.1,38,0,0,Mailed Check,2,Yes
CUST-10054,31,Male,69,One Year,Fiber Optic,Yes,No,46.72,3142.3,242.0,38,0,0,Credit Card,3,No
CUST-10055,67,Female,18,One Year,DSL,Yes,No,86.01,1409.9,79.2,55,8,0,Mailed Check,1,No
CUST-10056,26,Female,42,Two Year,DSL,No,Yes,57.37,,284.0,28,1,0,Electronic Check,4,No
CUST-10057,43,Male,57,Month-to-Month,Fiber Optic,Yes,Yes,95.42,5185.22,148.2,15,3,0,Mailed Check,2,No
CUST-10058,70,Female,12,Month-to-Month,DSL,Yes,No,52.84,585.9,375.4,8,0,1,Bank Transfer,3,Yes
CUST-10059,19,Male,17,Month-to-Month,DSL,Yes,No,38.69,676.88,186.2,1,2,2,Credit Card,3,Yes
CUST-10060,37,Female,30,Month-to-Month,DSL,Yes,Yes,45.11,1296.3,333.5,10,2,1,Credit Card,1,No
CUST-10061,45,Male,23,One Year,DSL,Yes,Yes,46.38,1117.18,287.8,59,1,1,Electronic Check,3,No
CUST-10062,64,Female,1,Two Year,Fiber Optic,Yes,No,43.99,45.53,125.0,35,5,1,Bank Transfer,1,No
CUST-10063,24,Male,32,Month-to-Month,No,Yes,No,50.68,1506.97,62.8,54,3,0,Credit Card,5,No
CUST-10064,61,Male,9,Two Year,Fiber Optic,Yes,No,86.42,758.93,190.2,48,1,1,Credit Card,1,No
CUST-10065,25,Female,15,Month-to-Month,Fiber Optic,Yes,Yes,109.9,1632.46,127.6,33,1,0,Credit Card,4,No
CUST-10066,64,Female,28,Month-to-Month,DSL,Yes,Yes,31.75,909.31,322.2,16,1,1,Electronic Check,4,No
CUST-10067,52,Male,24,Month-to-Month,DSL,Yes,Yes,96.59,2394.3,157.8,14,1,0,Electronic Check,2,Yes
CUST-10068,31,Female,60,Month-to-Month,DSL,Yes,No,53.06,3163.23,153.0,5,5,0,Credit Card,2,No
CUST-10069,34,Male,35,Two Year,Fiber Optic,Yes,Yes,73.7,2335.14,54.4,16,1,0,Mailed Check,1,No
CUST-10070,53,Female,27,Month-to-Month,Fiber Optic,Yes,Yes,23.65,620.79,217.7,21,1,0,Credit Card,3,Yes
CUST-10071,67,Female,20,One Year,Fiber Optic,Yes,Yes,78.1,1613.11,74.3,58,3,1,Bank Transfer,5,Yes
CUST-10072,57,Male,65,Month-to-Month,Fiber Optic,Yes,No,15.0,981.94,219.8,57,2,0,Bank Transfer,3,Yes
CUST-10073,21,Female,49,Two Year,DSL,Yes,Yes,72.85,3678.6,232.2,11,4,0,Credit Card,3,No
CUST-10074,19,Female,1,Month-to-Month,Fiber Optic,Yes,No,71.43,71.51,112.5,50,4,0,Credit Card,2,Yes
CUST-10075,23,Male,10,Month-to-Month,Fiber Optic,Yes,No,69.78,632.63,266.1,7,2,0,Credit Card,5,No
CUST-10076,71,Female,47,Month-to-Month,Fiber Optic,Yes,No,46.63,2290.67,155.3,57,3,0,Bank Transfer,5,Yes
CUST-10077,59,Male,59,Month-to-Month,Fiber Optic,No,Yes,78.74,4820.81,47.6,8,0,0,Electronic Check,6,Yes
CUST-10078,21,Male,62,Month-to-Month,Fiber Optic,Yes,No,74.78,4260.75,319.1,17,1,1,Mailed Check,2,No
CUST-10079,71,Male,18,Two Year,No,Yes,Yes,59.75,986.13,96.9,30,1,0,Electronic Check,5,No
CUST-10080,46,Male,46,One Year,No,Yes,Yes,81.8,3690.79,225.6,14,0,2,Mailed Check,0,No
CUST-10081,35,Male,32,One Year,Fiber Optic,Yes,No,62.61,2030.68,218.3,49,1,0,Bank Transfer,2,No
CUST-10082,43,Female,27,Month-to-Month,Fiber Optic,Yes,Yes,78.22,2021.82,215.0,44,0,0,Bank Transfer,3,Yes
CUST-10083,61,Male,18,Month-to-Month,DSL,Yes,No,61.85,1024.75,213.5,50,0,0,Bank Transfer,7,No
CUST-10084,51,Male,39,Month-to-Month,No,No,Yes,70.42,2682.07,92.7,33,3,0,Bank Transfer,5,Yes
CUST-10085,27,Female,49,Two Year,Fiber Optic,Yes,No,79.37,3697.14,332.2,24,1,0,Electronic Check,3,No
CUST-10086,53,Female,44,Two Year,DSL,No,No,55.05,2307.79,266.1,7,2,2,Mailed Check,3,Yes
CUST-10087,31,Female,54,Two Year,Fiber Optic,No,Yes,34.15,1838.1,222.8,38,1,0,Bank Transfer,0,No
CUST-10088,48,Male,34,Two Year,DSL,Yes,No,71.9,2524.88,60.0,15,5,0,Mailed Check,4,No
CUST-10089,65,Male,71,Month-to-Month,Fiber Optic,Yes,No,94.73,6616.8,91.9,50,1,0,Mailed Check,6,No
CUST-10090,32,Male,36,Month-to-Month,Fiber Optic,Yes,Yes,72.48,2617.47,239.2,43,1,0,Credit Card,1,No
CUST-10091,25,Female,18,Month-to-Month,DSL,Yes,Yes,72.95,1311.78,1.0,25,1,0,Electronic Check,3,No
CUST-10092,31,Male,38,Month-to-Month,DSL,Yes,Yes,63.95,2387.99,210.5,17,3,2,Electronic Check,2,Yes
CUST-10093,40,Female,59,Month-to-Month,No,Yes,No,83.48,4662.38,60.2,33,2,0,Electronic Check,5,No
CUST-10094,74,Male,9,Month-to-Month,Fiber Optic,Yes,No,60.35,519.61,101.9,2,1,0,Electronic Check,4,Yes
CUST-10095,57,Female,51,One Year,No,Yes,No,53.65,2592.11,53.0,39,1,0,Mailed Check,3,No
CUST-10096,38,Male,35,Two Year,Fiber Optic,Yes,Yes,92.63,3364.03,202.1,10,3,1,Bank Transfer,1,No
CUST-10097,33,Male,5,One Year,Fiber Optic,Yes,Yes,51.74,264.91,280.5,14,1,0,Bank Transfer,4,No
CUST-10098,62,Male,14,Two Year,Fiber Optic,Yes,Yes,87.24,1205.36,211.3,12,0,0,Mailed Check,1,No
CUST-10099,35,Female,30,Month-to-Month,DSL,Yes,Yes,92.65,2881.89,221.2,17,1,0,Bank Transfer,1,Yes
CUST-10100,64,Female,4,Month-to-Month,DSL,No,No,79.17,327.12,195.1,14,3,0,Credit Card,2,Yes
CUST-10101,70,Male,39,One Year,DSL,Yes,No,33.77,1368.6,241.4,51,0,1,Mailed Check,0,No
CUST-10102,41,Male,64,Month-to-Month,DSL,Yes,Yes,65.68,3923.0,222.0,10,0,1,Mailed Check,1,No
CUST-10103,43,Male,25,Month-to-Month,No,Yes,No,59.95,1510.18,1.0,56,2,0,Credit Card,4,No
CUST-10104,42,Female,28,Month-to-Month,DSL,Yes,Yes,52.6,1460.11,261.6,44,3,0,Credit Card,2,No
CUST-10105,62,Male,66,Month-to-Month,Fiber Optic,Yes,No,68.57,4571.21,252.1,39,2,0,Bank Transfer,2,No
CUST-10106,58,Male,22,Month-to-Month,Fiber Optic,Yes,Yes,84.23,1740.96,147.4,40,4,0,Electronic Check,2,Yes
CUST-10107,46,Male,31,Month-to-Month,DSL,Yes,No,53.54,1666.75,2.3,29,2,0,Electronic Check,3,No
CUST-10108,32,Male,23,Month-to-Month,Fiber Optic,Yes,Yes,60.72,1342.76,201.8,45,1,0,Credit Card,2,No
CUST-10109,62,Female,48,One Year,DSL,No,No,58.97,2901.65,209.4,6,3,1,Bank Transfer,4,No
CUST-10110,18,Female,20,Month-to-Month,Fiber Optic,Yes,Yes,94.1,1918.33,140.4,40,1,0,Electronic Check,4,Yes
CUST-10111,42,Male,38,Month-to-Month,DSL,Yes,Yes,58.57,2073.66,196.8,31,1,1,Credit Card,5,No
CUST-10112,24,Male,55,Month-to-Month,Fiber Optic,Yes,Yes,34.14,1741.71,276.5,37,1,0,Bank Transfer,4,No
CUST-10113,26,Female,68,Month-to-Month,Fiber Optic,No,Yes,25.66,1758.25,395.8,9,3,0,Bank Transfer,4,No
CUST-10114,41,Female,1,One Year,No,Yes,No,74.07,72.78,193.2,58,3,1,Bank Transfer,2,No
CUST-10115,18,Male,7,One Year,No,Yes,No,45.98,316.58,210.1,43,1,1,Electronic Check,5,No
CUST-10116,61,Female,57,One Year,Fiber Optic,Yes,No,81.72,4718.02,105.9,45,0,0,Mailed Check,4,No
CUST-10117,25,Female,12,Month-to-Month,Fiber Optic,Yes,No,31.72,391.39,134.9,33,2,0,Credit Card,4,Yes
CUST-10118,41,Male,5,One Year,Fiber Optic,Yes,Yes,51.53,241.12,167.8,7,2,1,Credit Card,3,No
CUST-10119,28,Female,50,One Year,Fiber Optic,Yes,No,31.74,1560.55,286.0,38,1,1,Mailed Check,3,No
CUST-10120,68,Female,42,Month-to-Month,No,Yes,Yes,75.87,3264.11,253.7,8,0,0,Electronic Check,1,Yes
CUST-10121,34,Male,12,Month-to-Month,DSL,No,No,81.22,1004.78,353.6,34,4,0,Electronic Check,7,Yes
CUST-10122,25,Male,18,Month-to-Month,Fiber Optic,Yes,Yes,73.47,1247.23,45.9,17,1,0,Credit Card,3,Yes
CUST-10123,52,Female,66,One Year,Fiber Optic,Yes,No,37.85,2287.32,60.9,17,0,0,Mailed Check,2,No
CUST-10124,52,Male,17,One Year,Fiber Optic,Yes,Yes,46.36,736.83,279.2,30,2,2,Mailed Check,4,No
CUST-10125,50,Female,68,Month-to-Month,DSL,Yes,Yes,70.86,5020.01,310.4,18,2,1,Mailed Check,3,Yes
CUST-10126,22,Male,71,One Year,Fiber Optic,Yes,Yes,22.81,1569.91,183.0,53,0,1,Mailed Check,2,No
CUST-10127,59,Female,62,Month-to-Month,Fiber Optic,Yes,Yes,58.97,3520.08,1.0,39,3,0,Bank Transfer,2,No
CUST-10128,56,Male,41,Month-to-Month,No,Yes,Yes,102.92,3806.03,113.1,15,2,0,Bank Transfer,5,No
CUST-10129,58,Female,34,Two Year,Fiber Optic,Yes,Yes,60.5,1867.04,210.2,45,3,1,Credit Card,7,No
CUST-10130,45,Female,70,Two Year,DSL,Yes,No,27.79,1945.89,99.1,57,0,0,Mailed Check,2,No
CUST-10131,24,Female,45,Month-to-Month,DSL,Yes,Yes,49.81,2215.62,196.7,20,1,1,Bank Transfer,6,Yes
CUST-10132,26,Male,58,Month-to-Month,DSL,Yes,No,49.23,2816.31,350.9,25,1,0,Mailed Check,8,No
CUST-10133,25,Male,51,Month-to-Month,Fiber Optic,Yes,Yes,118.51,5539.63,308.4,14,2,0,Electronic Check,5,No
CUST-10134,29,Female,34,Month-to-Month,Fiber Optic,Yes,Yes,106.64,3454.66,252.8,27,1,0,Credit Card,5,Yes
CUST-10135,51,Female,44,Two Year,DSL,Yes,No,83.27,3743.95,174.2,47,5,0,Bank Transfer,3,No
CUST-10136,50,Male,15,Two Year,Fiber Optic,Yes,No,56.42,783.87,135.5,35,1,0,Bank Transfer,3,No
CUST-10137,65,Male,70,One Year,Fiber Optic,Yes,Yes,95.02,6866.93,248.2,28,0,1,Electronic Check,2,No
CUST-10138,72,Male,50,Month-to-Month,DSL,Yes,No,36.66,1683.1,182.3,6,1,0,Credit Card,1,No
CUST-10139,40,Male,32,One Year,DSL,Yes,Yes,91.91,2721.63,185.4,41,6,0,Mailed Check,3,Yes
CUST-10140,41,Male,67,Month-to-Month,No,Yes,No,88.2,5741.94,40.4,59,2,0,Bank Transfer,3,No
CUST-10141,54,Male,3,Two Year,Fiber Optic,Yes,No,61.22,191.34,115.7,31,6,0,Bank Transfer,4,No
CUST-10142,52,Female,51,Two Year,Fiber Optic,Yes,Yes,93.48,4526.4,247.7,14,3,1,Bank Transfer,5,No
CUST-10143,61,Male,67,One Year,Fiber Optic,Yes,No,53.82,3601.37,80.9,16,0,1,Mailed Check,5,No
CUST-10144,57,Female,48,Month-to-Month,Fiber Optic,Yes,No,33.37,1583.02,203.9,49,2,0,Bank Transfer,2,No
CUST-10145,39,Male,17,Month-to-Month,Fiber Optic,Yes,Yes,89.45,1402.71,217.1,44,0,0,Electronic Check,1,Yes
CUST-10146,44,Male,7,Month-to-Month,Fiber Optic,Yes,No,62.87,412.46,222.4,36,0,0,Credit Card,8,No
CUST-10147,52,Female,13,Two Year,No,No,No,80.04,1081.64,230.4,5,2,0,Bank Transfer,5,No
CUST-10148,18,Female,66,Month-to-Month,No,Yes,No,110.52,6767.12,236.5,32,3,1,Credit Card,0,Yes
CUST-10149,52,Male,4,Month-to-Month,Fiber Optic,Yes,Yes,46.94,188.56,123.9,11,3,1,Electronic Check,5,No
CUST-10150,54,Female,10,Month-to-Month,DSL,Yes,No,61.42,641.66,47.9,22,3,0,Credit Card,2,No
CUST-10151,64,Female,17,Two Year,Fiber Optic,Yes,Yes,104.24,1626.64,101.4,43,1,0,Electronic Check,5,No
CUST-10152,31,Female,52,Month-to-Month,Fiber Optic,No,Yes,81.72,4078.94,245.7,40,1,0,Credit Card,2,No
CUST-10153,20,Female,6,Two Year,Fiber Optic,Yes,Yes,47.51,266.13,71.9,28,2,0,Mailed Check,4,No
CUST-10154,18,Male,69,Two Year,DSL,Yes,No,41.12,2647.85,86.3,50,1,0,Mailed Check,4,No
CUST-10155,22,Female,9,Two Year,DSL,Yes,No,51.8,427.9,85.8,6,2,0,Credit Card,1,No
CUST-10156,43,Male,21,Month-to-Month,Fiber Optic,Yes,No,46.54,,13.9,39,2,1,Bank Transfer,5,Yes
CUST-10157,72,Male,24,Month-to-Month,DSL,Yes,No,70.93,1722.67,76.8,6,0,0,Credit Card,2,No
CUST-10158,31,Male,4,Month-to-Month,Fiber Optic,Yes,Yes,66.96,268.25,270.0,46,0,0,Electronic Check,2,No
CUST-10159,56,Male,24,Month-to-Month,Fiber Optic,Yes,Yes,71.98,1794.37,115.5,20,0,2,Credit Card,2,No
CUST-10160,44,Female,59,Month-to-Month,Fiber Optic,Yes,No,43.98,2392.04,22.6,38,1,1,Electronic Check,1,No
CUST-10161,26,Female,3,One Year,DSL,Yes,No,63.23,179.82,134.0,4,0,0,Mailed Check,1,Yes
CUST-10162,32,Male,68,Month-to-Month,DSL,Yes,No,15.0,970.72,225.9,25,0,1,Bank Transfer,9,No
CUST-10163,32,Male,40,Two Year,DSL,Yes,Yes,68.63,2566.25,15.2,13,0,1,Bank Transfer,2,No
CUST-10164,43,Male,48,Month-to-Month,DSL,No,Yes,94.39,4174.29,265.8,49,1,1,Electronic Check,3,Yes
CUST-10165,59,Male,54,One Year,Fiber Optic,Yes,Yes,29.38,1543.69,50.3,12,0,3,Bank Transfer,2,Yes
CUST-10166,30,Female,35,One Year,Fiber Optic,Yes,Yes,77.09,2766.05,144.4,9,5,0,Credit Card,6,No
CUST-10167,68,Male,56,One Year,DSL,Yes,Yes,49.72,2904.55,143.3,59,3,0,Bank Transfer,5,No
CUST-10168,49,Female,40,Two Year,DSL,Yes,No,85.06,3128.17,129.5,52,1,0,Credit Card,2,No
CUST-10169,56,Male,68,One Year,DSL,Yes,No,68.97,4800.05,174.2,3,3,0,Electronic Check,3,No
CUST-10170,66,Male,46,Two Year,No,Yes,No,75.12,3537.37,250.1,32,1,0,Credit Card,8,No
CUST-10171,69,Male,13,Month-to-Month,Fiber Optic,Yes,Yes,66.62,829.99,176.3,11,2,0,Mailed Check,6,Yes
CUST-10172,49,Male,27,Month-to-Month,No,Yes,Yes,98.21,2430.27,125.5,5,1,0,Credit Card,3,Yes
CUST-10173,21,Female,6,Month-to-Month,No,Yes,No,73.69,463.58,221.2,35,4,0,Bank Transfer,0,Yes
CUST-10174,47,Female,17,Month-to-Month,Fiber Optic,Yes,No,47.36,803.78,198.7,49,0,2,Mailed Check,3,Yes
CUST-10175,54,Female,36,Month-to-Month,Fiber Optic,No,No,67.47,2543.88,119.7,24,1,1,Bank Transfer,2,Yes
CUST-10176,40,Male,2,Month-to-Month,DSL,Yes,No,55.78,108.5,183.8,41,1,0,Mailed Check,1,Yes
CUST-10177,56,Male,52,Month-to-Month,Fiber Optic,Yes,No,69.06,3444.89,112.3,6,2,0,Bank Transfer,3,No
CUST-10178,62,Female,66,Month-to-Month,DSL,Yes,Yes,54.51,3371.29,102.1,18,3,0,Bank Transfer,2,No
CUST-10179,32,Female,52,Month-to-Month,No,Yes,Yes,48.08,2619.01,252.5,38,0,1,Bank Transfer,6,No
CUST-10180,60,Male,43,Two Year,DSL,Yes,No,69.98,2822.54,220.2,6,3,2,Bank Transfer,2,No
CUST-10181,46,Male,22,Month-to-Month,Fiber Optic,Yes,Yes,66.39,1319.73,249.3,22,3,0,Credit Card,2,Yes
CUST-10182,53,Female,55,One Year,DSL,Yes,Yes,91.6,4921.47,237.2,42,2,1,Credit Card,7,No
CUST-10183,30,Male,67,Month-to-Month,No,Yes,Yes,54.63,3501.2,100.2,43,2,0,Bank Transfer,4,Yes
CUST-10184,49,Male,60,Two Year,DSL,Yes,Yes,15.48,872.34,270.1,14,2,0,Electronic Check,4,No
CUST-10185,24,Female,58,Two Year,Fiber Optic,Yes,No,55.9,3226.61,153.2,12,2,0,Bank Transfer,3,No
CUST-10186,68,Male,12,One Year,Fiber Optic,Yes,Yes,24.34,278.83,263.6,25,2,1,Electronic Check,3,No
CUST-10187,39,Female,69,One Year,Fiber Optic,Yes,Yes,75.39,4995.59,168.7,20,0,2,Bank Transfer,4,No
CUST-10188,45,Male,39,Month-to-Month,Fiber Optic,Yes,No,23.15,815.69,208.2,18,0,1,Mailed Check,4,No
CUST-10189,19,Female,13,Two Year,No,Yes,No,40.29,517.67,210.9,24,0,0,Credit Card,3,No
CUST-10190,59,Male,41,Two Year,DSL,Yes,No,55.94,2106.18,253.2,54,1,0,Mailed Check,4,No
CUST-10191,62,Female,57,Two Year,No,Yes,No,103.6,5504.06,32.9,15,1,2,Mailed Check,1,No
CUST-10192,74,Female,53,One Year,Fiber Optic,Yes,No,38.18,2038.85,38.1,31,1,0,Credit Card,3,No
CUST-10193,70,Female,12,Month-to-Month,No,Yes,No,65.31,742.17,240.5,42,0,0,Credit Card,3,Yes
CUST-10194,23,Female,13,Two Year,Fiber Optic,Yes,Yes,79.5,955.45,212.1,1,1,0,Electronic Check,5,No
CUST-10195,45,Male,57,Month-to-Month,Fiber Optic,Yes,Yes,102.1,5741.8,110.2,15,2,0,Electronic Check,4,Yes
CUST-10196,45,Male,40,One Year,No,Yes,No,84.44,3148.72,212.8,54,0,1,Mailed Check,3,No
CUST-10197,61,Female,45,Month-to-Month,Fiber Optic,Yes,No,92.35,3909.09,53.3,34,2,0,Electronic Check,1,Yes
CUST-10198,61,Male,35,Two Year,Fiber Optic,Yes,No,86.61,3010.74,473.8,52,4,0,Mailed Check,3,Yes
CUST-10199,37,Male,3,Month-to-Month,DSL,Yes,No,34.77,105.46,298.0,2,2,0,Bank Transfer,7,Yes
CUST-10200,47,Male,5,Month-to-Month,DSL,Yes,No,73.99,374.0,236.0,36,0,0,Bank Transfer,2,Yes
CUST-10201,28,Male,11,One Year,Fiber Optic,Yes,Yes,86.22,922.18,186.8,23,2,0,Bank Transfer,1,No
CUST-10202,72,Male,71,One Year,Fiber Optic,Yes,Yes,41.09,2824.46,124.3,24,1,0,Credit Card,3,No
CUST-10203,45,Female,56,One Year,Fiber Optic,Yes,Yes,50.51,2879.89,62.1,46,5,1,Bank Transfer,3,No
CUST-10204,42,Female,10,Month-to-Month,DSL,Yes,Yes,44.92,417.29,169.8,32,1,2,Electronic Check,3,Yes
CUST-10205,56,Female,34,Month-to-Month,Fiber Optic,Yes,Yes,84.32,2645.64,102.6,51,2,0,Mailed Check,5,No
CUST-10206,50,Female,67,One Year,Fiber Optic,Yes,Yes,63.27,4237.84,107.9,46,0,1,Electronic Check,3,No
CUST-10207,18,Male,31,Two Year,Fiber Optic,No,No,56.98,1698.24,52.5,13,1,0,Mailed Check,3,No
CUST-10208,74,Male,71,Two Year,No,Yes,No,32.96,2355.37,202.5,33,1,1,Bank Transfer,1,No
CUST-10209,44,Female,66,Month-to-Month,Fiber Optic,Yes,No,63.32,3922.06,146.1,42,2,0,Credit Card,7,No
CUST-10210,74,Male,70,Two Year,DSL,Yes,Yes,50.81,3374.35,228.2,14,3,1,Mailed Check,2,No
CUST-10211,69,Male,41,Month-to-Month,No,Yes,Yes,71.08,3014.83,221.1,17,2,1,Electronic Check,0,No
CUST-10212,30,Female,63,Month-to-Month,Fiber Optic,Yes,No,36.43,2210.74,200.7,58,3,1,Mailed Check,2,No
CUST-10213,58,Male,32,Month-to-Month,Fiber Optic,No,Yes,69.45,,419.3,16,3,0,Bank Transfer,2,Yes
CUST-10214,20,Female,20,Month-to-Month,DSL,Yes,No,54.03,989.83,254.1,32,0,0,Credit Card,0,No
CUST-10215,56,Female,57,One Year,Fiber Optic,Yes,Yes,33.77,1784.03,66.5,15,2,0,Electronic Check,2,No
CUST-10216,23,Male,50,Month-to-Month,DSL,No,No,31.82,1440.46,221.3,43,2,1,Electronic Check,3,Yes
